lemma	date1	date2	group	annotator1	annotator2	annotator3	annotator4	annotator5	mean	comments1	comments2	comments3	comments4	comments5
Bilanz	1877	1758	compare	0	4	1	0	0	0	Satz 2 zu wenig Kontext	 	 	zu wenig Kontext	Bedeutung von Bilanzen in Satz 2 nicht zweifelsfrei erschließbar.
Anstellung	1793	1792	earlier	2	1	3	1	2	1.8	 	 	 	 	 
Motiv	1789	1851	compare	3	1	4	2	2	2.4	 	 	 	 	 
Bilanz	1775	1758	earlier	3	4	2	2	4	3	 	 	 	 	 
Museum	1855	1853	later	4	3	4	4	4	3.8	 	 	 	 	 
englisch	1792	1892	compare	3	3	3	4	4	3.4	“Englische” in Satz 2 gehört zum Namen “Englische Bank” und deshalb nur der enge Bezug 3	 	 	 	 
Donnerwetter	1772	1751	earlier	2	2	2	3	3	2.4	 	 	 	 	 
Bilanz	1794	1794	earlier	4	4	4	0	4	4	 	 	 	zu wenig Kontext	 
Presse	1783	1771	earlier	4	3	3	3	2	3	 	 	 	 	 
Museum	1782	1855	compare	4	4	4	4	4	4	 	 	 	 	 
flott	1792	1795	earlier	3	1	2	3	2	2.2	 	 	 	 	 
Abend	1861	1896	later	3	3	4	3	4	3.4	 	 	 	 	 
Anstellung	1852	1789	compare	0	1	3	2	2	2	Satz 1 zu wenig Kontext	 	 	 	 
technisch	1796	1853	compare	4	4	3	3	4	3.6	 	 	 	 	 
Anstellung	1798	1791	earlier	3	1	4	2	3	2.6	 	 	 	 	 
Presse	1779	1868	compare	3	2	1	3	4	2.6	 	 	 	 	 
Steckenpferd	1894	1869	later	0	4	1	1	0	2	Satz 2 zu wenig Kontext	 	 	 	Die Bedeutung von Steckenpferd in Satz 2 nicht zweifelsfrei erschließbar, da es sich um eine Aufzä
locker	1779	1756	earlier	4	4	3	1	3	3	 	 	 	 	 
packen	1785	1756	earlier	3	4	3	4	4	3.6	 	 	 	 	 
Feine	1771	1771	earlier	3	2	1	4	3	2.6	Oder 4...	 	 	 	 
Kinderstube	1876	1896	later	4	3	3	2	3	3	beides Mal ist keine konkrete Kinderstube gemeint	 	 	 	 
Zufall	1755	1750	earlier	4	4	4	4	4	4	 	 	 	 	 
englisch	1879	1777	compare	4	3	3	3	0	3.25	 	 	 	 	Bedeutung von englisch in Satz 1 nicht zweifelsfrei erschließbar
Feine	1771	1866	compare	3	4	3	3	2	3	 	 	 	 	 
billig	1787	1882	compare	4	4	4	4	2	3.6	angemessen	 	 	 	 
technisch	1870	1870	later	3	2	2	2	3	2.4	 	 	 	 	 
Motiv	1893	1792	compare	4	1	1	3	1	2	 	 	 	 	 
Anstellung	1767	1799	earlier	3	4	4	3	1	3	 	 	 	 	 
Reichstag	1876	1876	later	4	3	4	4	4	3.8	 	 	 	 	 
Anstellung	1792	1877	compare	0	4	4	4	4	4	Satz 2 ist unverständlich	 	 	 	 
Donnerwetter	1772	1796	earlier	0	2	3	0	0	0	Satz 1 zu wenig Kontext	 	 	zu wenig Kontext	Die Bedeutung von Donnerwetter in Satz 1 nicht zweifelsfrei erschließbar.
Bilanz	1756	1776	earlier	4	3	4	2	4	3.4	 	 	 	 	 
Vorwort	1890	1889	later	4	4	4	4	4	4	 	 	 	 	 
Zufall	1762	1883	compare	4	2	1	3	4	2.8	 	 	 	 	 
packen	1861	1879	later	3	1	2	1	3	2	 	 	 	 	 
technisch	1795	1796	earlier	4	2	2	3	4	3	 	 	 	 	 
Steckenpferd	1796	1796	earlier	2	1	1	2	1	1.4	 	 	 	 	 
Vorwort	1858	1891	later	4	4	4	4	4	4	 	 	 	 	 
flott	1756	1893	compare	2	2	2	0	0	2	 	 	 	zwei verschiedene Wörter	In Satz 2 Flott falsch lemmatisiert. Es handelt sich hier nicht um das Adjektiv, sondern um das Subs
locker	1756	1756	earlier	4	4	4	4	4	4	 	 	 	 	 
Vorwort	1858	1764	compare	2	2	1	1	1	1.4	 	1	 	 	 
englisch	1781	1869	compare	3	3	3	3	4	3.2	 	 	 	 	 
packen	1792	1777	earlier	3	3	4	3	0	3.25	 	 	 	 	Falsche Lemmatisierung in Satz 1. 
geharnischt	1776	1786	earlier	4	4	4	4	4	4	 	 	 	 	 
Bilanz	1884	1894	later	4	1	2	3	4	2.8	 	 	 	 	 
Donnerwetter	1784	1784	earlier	4	4	4	4	4	4	 	 	 	 	 
Steckenpferd	1788	1796	earlier	4	4	4	3	4	3.8	 	 	 	 	 
Feder	1789	1784	earlier	1	1	1	2	2	1.4	 	 	 	 	 
Anstalt	1795	1861	compare	3	4	4	4	4	3.8	 	 	 	 	 
Feder	1784	1798	earlier	4	3	4	2	3	3.2	 	 	 	 	 
billig	1865	1776	compare	2	1	1	3	3	2	 	 	 	 	 
packen	1889	1896	later	2	1	1	2	3	1.8	 	 	 	 	 
Motiv	1792	1898	compare	3	4	3	2	4	3.2	 	 	 	 	 
Donnerwetter	1879	1850	later	2	1	1	1	3	1.6	 	 	 	 	 
geharnischt	1861	1791	compare	4	4	4	4	4	4	 	 	 	 	 
Anstellung	1896	1896	later	3	2	3	4	4	3.2	 	 	 	 	 
Feder	1867	1783	compare	4	4	4	4	4	4	 	 	 	 	 
Abend	1896	1861	later	4	3	3	3	4	3.4	 	 	 	 	 
packen	1789	1860	compare	4	4	4	4	3	3.8	 	 	 	 	 
Vorwort	1764	1852	compare	2	2	1	1	1	1.4	 	 	 	 	 
Donnerwetter	1897	1879	later	4	4	4	4	4	4	 	 	 	 	 
Presse	1896	1791	compare	2	2	1	1	2	1.6	 	 	 	 	 
Reichstag	1787	1787	earlier	4	3	4	3	4	3.6	 	 	 	 	 
Anstellung	1868	1896	later	4	3	4	4	4	3.8	 	 	 	 	 
Anstellung	1896	1865	later	4	4	4	4	4	4	 	 	 	 	 
Museum	1890	1855	later	4	3	4	4	4	3.8	 	 	 	 	 
Vorwort	1764	1764	earlier	4	4	4	4	4	4	 	 	 	 	 
Feine	1782	1899	compare	2	3	3	2	2	2.4	 	 	 	 	 
Museum	1787	1862	compare	4	3	4	4	4	3.8	 	 	 	 	 
Presse	1889	1798	compare	3	2	2	1	2	2	 	 	 	 	 
Vorwort	1764	1764	earlier	4	4	4	4	4	4	 	 	 	 	 
Abend	1786	1782	earlier	4	4	4	2	4	3.6	 	 	 	 	 
Bilanz	1894	1871	later	4	2	2	2	3	2.6	 	 	 	 	 
Reichstag	1876	1787	compare	3	3	3	3	4	3.2	 	 	 	 	 
technisch	1887	1853	later	3	2	3	3	3	2.8	 	 	 	 	 
Reichstag	1876	1786	compare	3	3	4	3	3	3.2	 	 	 	 	 
Presse	1756	1777	earlier	3	3	3	4	3	3.2	 	 	 	 	 
Zufall	1771	1750	earlier	4	4	1	4	4	3.4	 	 	 	 	 
packen	1779	1789	earlier	3	1	2	1	3	2	 	 	 	 	 
Anstalt	1873	1875	later	1	1	1	1	1	1	 	 	 	 	 
packen	1866	1787	compare	4	4	4	4	4	4	 	 	 	 	 
Donnerwetter	1889	1852	later	4	1	2	2	2	2.2	 	 	 	 	 
flott	1772	1778	earlier	0	1	1	1	0	1	Satz 1 zu wenig Kontext	 	 	 	Satz 1 vermutlich falsch lemmatisiert. Hier liegt ein teilweise fremdsprachlicher Beleg vor.
flott	1796	1861	compare	4	4	4	4	4	4	 	 	 	 	 
Anstellung	1792	1759	earlier	3	1	1	1	2	1.6	 	 	 	 	 
Motiv	1894	1790	compare	2	1	1	3	1	1.6	 	 	 	 	 
locker	1863	1882	later	4	2	3	4	4	3.4	 	 	 	 	 
Steckenpferd	1778	1869	compare	0	1	1	4	0	2	Satz 2 zu wenig Kontext	 	 	 	Bedeutung von Steckenpferd in Satz 2 nicht erschließbar, da es sich hier um eine Aufzählung ohne w
Abend	1776	1776	earlier	4	4	4	4	4	4	 	 	 	 	 
Presse	1753	1868	compare	3	1	1	1	2	1.6	 	 	 	 	 
packen	1787	1864	compare	4	4	4	4	4	4	 	 	 	 	 
Anstalt	1755	1896	compare	1	1	1	1	3	1.4	 	 	 	 	 
technisch	1781	1893	compare	3	3	2	4	4	3.2	 	 	 	 	 
billig	1752	1766	earlier	2	4	1	3	4	2.8	 	 	 	 	 
Museum	1870	1855	later	4	2	4	3	4	3.4	 	 	 	 	 
technisch	1897	1855	later	4	3	3	3	4	3.4	 	 	 	 	 
Steckenpferd	1778	1798	earlier	2	1	1	4	1	1.8	 	 	 	 	 
Presse	1868	1752	compare	2	1	1	1	0	1.25	 	 	 	 	Die Bedeutung von Presse in Satz 1 kann aufgrund von fehlendem Kntext nicht erschlossen werden.
Donnerwetter	1769	1784	earlier	2	4	4	2	3	3	 	 	 	 	 
Reichstag	1898	1787	compare	4	3	4	4	3	3.6	 	 	 	 	 
Museum	1876	1888	later	4	2	4	0	4	3.5	 	 	 	zu wenig Kontext	 
Feder	1778	1889	compare	3	4	3	3	4	3.4	 	 	 	 	 
Museum	1896	1787	compare	4	4	3	4	4	3.8	 	 	 	 	 
Donnerwetter	1784	1784	earlier	4	4	4	4	4	4	 	 	 	 	 
Zufall	1752	1853	compare	4	4	4	4	4	4	 	 	 	 	 
Abend	1871	1778	compare	4	4	4	4	4	4	 	 	 	 	 
Museum	1890	1855	later	4	3	4	4	4	3.8	 	 	 	 	 
flott	1898	1879	later	3	1	4	3	3	2.8	 	 	 	 	 
Donnerwetter	1795	1784	earlier	4	4	4	4	4	4	 	 	 	 	 
Anstellung	1876	1799	compare	4	3	3	3	4	3.4	 	 	 	 	 
Presse	1751	1899	compare	3	3	3	2	4	3	 	 	 	 	 
Feder	1852	1882	later	4	3	3	3	4	3.4	 	 	 	 	 
Kinderstube	1867	1855	later	3	2	2	3	2	2.4	 	 	 	 	 
Zufall	1890	1796	compare	4	3	4	4	4	3.8	 	 	 	 	 
Anstalt	1857	1896	later	3	2	3	4	4	3.2	 	 	 	 	 
Donnerwetter	1889	1852	later	2	2	1	2	2	1.8	 	 	 	 	 
Zufall	1882	1755	compare	4	4	4	3	4	3.8	 	 	 	 	 
Bilanz	1885	1899	later	3	4	2	2	2	2.6	 	 	 	 	 
Feine	1787	1756	earlier	3	4	2	1	2	2.4	 	 	 	 	 
Museum	1875	1867	later	4	3	4	4	4	3.8	 	 	 	 	 
Museum	1855	1888	later	4	3	4	3	4	3.6	 	 	 	 	 
Abend	1876	1861	later	4	4	4	4	4	4	 	 	 	 	 
billig	1754	1855	compare	4	4	4	4	4	4	 	 	 	 	 
billig	1855	1794	compare	4	4	1	2	4	3	 	 	 	 	 
Kinderstube	1797	1775	earlier	4	4	2	3	4	3.4	 	 	 	 	 
Feine	1799	1782	earlier	3	2	2	3	3	2.6	 	 	 	 	 
flott	1871	1866	later	4	1	4	4	3	3.2	 	 	 	 	 
Motiv	1893	1858	later	3	3	1	4	1	2.4	 	 	 	 	 
Donnerwetter	1877	1879	later	3	1	1	1	1	1.4	 	 	 	 	 
locker	1796	1792	earlier	3	2	2	1	2	2	 	 	 	 	 
Presse	1784	1764	earlier	4	4	2	4	4	3.6	 	 	 	 	 
technisch	1792	1788	earlier	4	2	1	3	3	2.6	 	 	 	 	 
Vorwort	1771	1853	compare	2	2	1	1	1	1.4	 	 	 	 	 
locker	1875	1875	later	4	4	4	4	4	4	 	 	 	 	 
Steckenpferd	1750	1777	earlier	2	1	2	2	2	1.8	 	 	 	 	 
Presse	1794	1778	earlier	4	4	4	4	4	4	 	 	 	 	 
Zufall	1888	1877	later	4	4	1	3	4	3.2	 	 	 	 	 
Steckenpferd	1791	1767	earlier	2	4	3	2	4	3	 	 	 	 	 
billig	1756	1868	compare	2	1	1	1	2	1.4	 	 	 	 	 
Feder	1781	1750	earlier	4	2	4	3	4	3.4	 	 	 	 	 
Motiv	1789	1865	compare	4	4	4	3	3	3.6	 	 	 	 	 
Feine	1774	1756	earlier	2	3	2	2	3	2.4	 	 	 	 	 
Kinderstube	1898	1853	later	3	2	4	3	4	3.2	 	 	 	 	 
Abend	1866	1775	compare	4	4	4	3	4	3.8	 	 	 	 	 
technisch	1792	1894	compare	4	2	2	3	3	2.8	 	 	 	 	 
Zufall	1780	1791	earlier	4	3	1	3	4	3	 	 	 	 	 
Feder	1784	1779	earlier	2	2	2	3	3	2.4	 	 	 	 	 
Zufall	1791	1793	earlier	1	3	4	4	4	3.2	Satz 2: Zufall ist Anfall, deshalb 1	 	 	 	 
Museum	1891	1859	later	4	4	4	4	4	4	 	 	 	 	 
englisch	1774	1756	earlier	4	4	4	4	4	4	 	 	 	 	 
Anstellung	1790	1876	compare	4	3	4	4	4	3.8	 	 	 	 	 
Anstalt	1879	1799	compare	3	1	2	3	2	2.2	 	 	 	 	 
Kinderstube	1760	1778	earlier	4	3	4	2	4	3.4	 	 	 	 	 
Reichstag	1753	1789	earlier	4	3	3	4	4	3.6	 	 	 	 	 
englisch	1789	1786	earlier	4	4	4	4	4	4	 	 	 	 	 
Presse	1794	1795	earlier	4	3	1	3	4	3	 	 	 	 	 
Vorwort	1865	1853	later	4	4	4	4	4	4	 	 	 	 	 
flott	1795	1764	earlier	2	2	1	0	0	1.6666666667	 	 	 	zwei verschiedene Wörter	Lemmatisierung von Flotte in Satz 2 falsch. Es handelt sich hier um das Substantiv Flotte nicht um d
technisch	1870	1792	compare	3	4	4	2	4	3.4	 	 	 	 	 
Vorwort	1773	1882	compare	4	1	2	3	3	2.6	 	 	 	 	 
locker	1879	1875	later	3	1	1	2	2	1.8	 	 	 	 	 
Feder	1792	1792	earlier	4	4	4	4	4	4	 	 	 	 	 
technisch	1787	1791	earlier	3	1	2	2	3	2.2	 	 	 	 	 
packen	1758	1779	earlier	3	2	3	3	0	2.75	 	 	 	 	In Satz 2 falsche Lemmatisierung. Möglicherweise ist hier Paket und nicht das Verb packen gemeint.
Kinderstube	1898	1795	compare	3	4	4	4	2	3.4	 	 	 	 	 
Reichstag	1878	1878	later	4	4	3	3	4	3.6	 	 	 	 	 
Donnerwetter	1899	1784	compare	2	1	1	1	1	1.2	 	 	 	 	 
geharnischt	1890	1776	compare	4	4	3	3	4	3.6	 	 	 	 	 
Anstellung	1886	1865	later	2	1	4	3	3	2.6	 	 	 	 	 
Feder	1867	1852	later	2	3	2	2	3	2.4	 	 	 	 	 
Steckenpferd	1879	1796	compare	4	4	4	3	4	3.8	 	 	 	 	 
Reichstag	1892	1878	later	4	4	4	4	4	4	 	 	 	 	 
Steckenpferd	1869	1895	later	2	1	2	2	2	1.8	 	 	 	 	 
Zufall	1854	1855	later	4	4	4	4	4	4	 	 	 	 	 
Donnerwetter	1779	1879	compare	3	2	2	3	3	2.6	 	 	 	 	 
Anstalt	1775	1784	earlier	4	1	4	4	3	3.2	 	 	 	 	 
flott	1858	1764	compare	2	1	1	0	0	1.3333333333	 	 	 	zwei verschiedene Wörter	In Satz 2 ist Flotte falsch lemmatisiert. 
Abend	1773	1855	compare	3	1	4	3	4	3	 	 	 	 	 
Abend	1896	1877	later	4	3	3	3	4	3.4	 	 	 	 	 
Zufall	1887	1893	later	4	4	4	3	4	3.8	 	 	 	 	 
Anstellung	1767	1876	compare	2	1	2	3	3	2.2	 	 	 	 	 
flott	1893	1893	later	4	4	4	4	0	4	 	 	 	 	Beide Belege meinen das Substantiv Flotte, nicht das Adjektiv.
Feder	1855	1899	later	4	2	4	4	4	3.6	 	 	 	 	 
packen	1774	1867	compare	2	1	2	0	0	1.6666666667	 	 	 	zwei verschiedene Wörter	Satz 1 ist falsch lemmatisiert. 
billig	1884	1855	later	4	4	3	4	4	3.8	 	 	 	 	 
Presse	1894	1868	later	4	4	4	4	4	4	 	 	 	 	 
flott	1772	1799	earlier	0	1	1	0	0	0	Satz 1 zu wenig Kontext	 	 	zwei verschiedene Wörter	Fremsprachlicher Beleg in Satz 1.
locker	1797	1759	earlier	4	2	2	3	3	2.8	 	 	 	 	 
Bilanz	1851	1767	compare	4	2	4	4	4	3.6	 	 	 	 	 
Anstalt	1854	1886	later	2	1	1	2	1	1.4	 	 	 	 	 
Feine	1778	1758	earlier	3	2	2	3	3	2.6	 	 	 	 	 
Zufall	1851	1859	later	4	4	4	4	4	4	 	 	 	 	 
packen	1857	1792	compare	3	3	3	3	0	3	 	 	 	 	Falsche Lemmatisierung in Satz 2.
Bilanz	1758	1893	compare	0	3	4	4	4	3.75	Satz 1 zu wenig Kontext	 	 	 	 
englisch	1755	1778	earlier	4	2	3	3	4	3.2	 	 	 	 	 
Anstellung	1868	1895	later	2	4	4	3	4	3.4	 	 	 	 	 
flott	1779	1764	earlier	2	1	1	0	0	1.3333333333	 	 	 	zwei verschiedene Wörter	Falsche Lemmatisierung in Satz 2.
englisch	1881	1761	compare	4	4	3	4	4	3.8	 	 	 	 	 
Donnerwetter	1784	1784	earlier	4	4	4	3	4	3.8	 	 	 	 	 
Museum	1780	1881	compare	4	4	4	4	4	4	 	 	 	 	 
Zufall	1869	1858	later	3	3	3	3	4	3.2	 	 	 	 	 
Presse	1890	1868	later	3	2	3	3	4	3	 	 	 	 	 
packen	1883	1755	compare	4	1	2	2	3	2.4	 	 	 	 	 
geharnischt	1778	1753	earlier	4	3	4	4	4	3.8	 	 	 	 	 
billig	1795	1750	earlier	3	3	1	3	3	2.6	Satz 1 zurecht und Satz 2 angemessen	 	 	 	 
Steckenpferd	1871	1788	compare	4	4	2	4	4	3.6	 	 	 	 	 
Reichstag	1796	1876	compare	4	3	3	3	4	3.4	 	 	 	 	 
Anstalt	1861	1857	later	3	1	2	3	3	2.4	 	 	 	 	 
Feder	1866	1797	compare	2	1	1	1	3	1.6	 	 	 	 	 
packen	1756	1889	compare	4	3	4	3	3	3.4	 	 	 	 	 
geharnischt	1889	1854	later	2	1	2	2	1	1.6	 	 	 	 	 
Bilanz	1870	1885	later	4	2	4	3	4	3.4	 	 	 	 	 
geharnischt	1791	1764	earlier	4	4	3	4	4	3.8	 	 	 	 	 
geharnischt	1895	1890	later	2	1	2	2	1	1.6	 	 	 	 	 
Bilanz	1886	1894	later	4	3	4	3	4	3.6	 	 	 	 	 
Zufall	1879	1783	compare	4	1	1	2	4	2.4	 	 	 	 	 
Reichstag	1787	1786	earlier	3	3	3	3	3	3	 	 	 	 	 
Anstellung	1796	1756	earlier	3	1	2	2	3	2.2	 	 	 	 	 
Reichstag	1880	1876	later	4	4	4	3	4	3.8	 	 	 	 	 
Steckenpferd	1767	1899	compare	4	1	1	3	1	2	 	 	 	 	 
Steckenpferd	1794	1791	earlier	4	2	1	3	2	2.4	 	 	 	 	 
geharnischt	1758	1769	earlier	4	3	2	3	4	3.2	 	 	 	 	 
Reichstag	1767	1792	earlier	4	3	4	4	4	3.8	 	 	 	 	 
geharnischt	1753	1753	earlier	4	4	2	4	4	3.6	 	 	 	 	 
Motiv	1894	1882	later	0	1	4	0	0	0	 	 	 	zu wenig Kontext	Bedeutungen von Motiv in Satz 1 und 2 nicht erschließbar.
Feder	1787	1866	compare	2	3	1	2	3	2.2	 	 	 	 	 
englisch	1850	1792	compare	4	2	3	3	4	3.2	 	 	 	 	 
Donnerwetter	1777	1784	earlier	4	4	4	4	4	4	 	 	 	 	 
technisch	1897	1855	later	4	3	3	3	4	3.4	 	 	 	 	 
technisch	1792	1795	earlier	4	2	2	2	4	2.8	 	 	 	 	 
Bilanz	1758	1756	earlier	4	4	3	4	4	3.8	 	 	 	 	 
Motiv	1862	1893	later	3	1	1	2	2	1.8	 	 	 	 	 
geharnischt	1791	1789	earlier	3	3	3	3	3	3	 	 	 	 	 
geharnischt	1858	1882	later	2	2	1	2	2	1.8	 	 	 	 	 
Feine	1897	1884	later	4	4	4	4	4	4	 	 	 	 	hier scheint jedoch die Lemmatisierung in beiden Fällen nicht richtig zu sein.
Zufall	1795	1899	compare	4	3	4	4	4	3.8	 	 	 	 	 
Presse	1754	1894	compare	2	1	1	1	3	1.6	 	 	 	 	 
Feine	1859	1853	later	3	1	3	3	3	2.6	 	 	 	 	 
Vorwort	1890	1771	compare	2	2	1	1	1	1.4	 	 	 	 	 
flott	1858	1799	compare	4	1	3	2	3	2.6	 	 	 	 	 
packen	1867	1859	later	4	4	3	4	4	3.8	 	 	 	 	 
Bilanz	1794	1796	earlier	0	1	2	0	0	0	Satz 1 zu wenig Kontext	 	 	zu wenig Kontext	Bedeutung von Bilanz in Satz 1 nicht erschließbar. Zu wenig Kontext.
locker	1865	1777	compare	3	2	2	2	3	2.4	 	 	 	 	 
Feder	1885	1755	compare	2	1	1	1	2	1.4	 	 	 	 	 
Abend	1885	1895	later	2	2	4	2	3	2.6	 	 	 	 	 
technisch	1781	1797	earlier	4	1	3	3	3	2.8	 	 	 	 	 
Vorwort	1771	1774	earlier	4	2	4	1	4	3	 	 	 	 	 
Museum	1783	1798	earlier	4	2	4	4	4	3.6	 	 	 	 	 
Donnerwetter	1783	1852	compare	2	1	1	1	1	1.2	 	 	 	 	 
Kinderstube	1791	1852	compare	4	2	3	3	4	3.2	 	 	 	 	 
geharnischt	1892	1874	later	4	4	2	4	4	3.6	 	 	 	 	 
englisch	1766	1796	earlier	4	2	4	3	4	3.4	 	 	 	 	 
flott	1869	1774	compare	0	1	1	0	0	0	Satz 2 zu wenig Kontext	 	 	zwei verschiedene Wörter	Falsche Lemmatisierung in Satz 2. Es handelt sich um einen fremdsprachlichen Beleg.
englisch	1774	1781	earlier	4	2	3	3	4	3.2	 	 	 	 	 
billig	1775	1791	earlier	4	4	4	4	4	4	angemessen	 	 	 	 
flott	1780	1796	earlier	4	4	4	4	4	4	 	 	 	 	 
technisch	1855	1853	later	4	2	4	4	3	3.4	 	 	 	 	 
billig	1884	1762	compare	2	2	1	1	1	1.4	 	 	 	 	 
Feine	1866	1897	later	0	2	1	0	0	0	Satz 2 zu wenig Kontext	 	 	zu wenig Kontext	Keine Aussage über die Bedeutung von fein in Satz 2 möglich.
Anstalt	1776	1794	earlier	4	3	3	4	2	3.2	 	 	 	 	 
flott	1889	1780	compare	4	4	4	4	4	4	 	 	 	 	 
locker	1865	1884	later	4	2	4	3	3	3.2	 	 	 	 	 
geharnischt	1890	1791	compare	4	4	4	4	4	4	 	 	 	 	 
Feder	1889	1858	later	2	1	1	1	3	1.6	 	 	 	 	 
Feine	1776	1884	compare	2	1	1	1	1	1.2	 	 	 	 	 
Reichstag	1786	1786	earlier	4	3	4	4	4	3.8	 	 	 	 	 
locker	1781	1889	compare	4	4	2	3	2	3	 	 	 	 	 
Anstalt	1796	1794	earlier	1	1	1	1	1	1	 	 	 	 	 
Anstellung	1868	1866	later	3	3	3	4	1	2.8	 	 	 	 	 
Anstalt	1783	1769	earlier	3	1	2	2	1	1.8	 	 	 	 	 
Kinderstube	1787	1760	earlier	3	4	3	4	4	3.6	 	 	 	 	 
Donnerwetter	1871	1889	later	2	2	1	1	1	1.4	 	 	 	 	 
Feder	1867	1885	later	2	1	1	1	1	1.2	 	 	 	 	 
Vorwort	1764	1764	earlier	4	4	4	4	4	4	 	 	 	 	 
Abend	1780	1785	earlier	4	4	4	4	4	4	 	 	 	 	 
